Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy,F1 Score,F2 Score,False Negative Rate,False Positive Rate,Negative Predictive Value,Positive Predictive Value,Sensitivity,Specificity,Matthews Correlation Coefficient,AUC-ROC,AUC-PR
1,0.7970830249786377,0.7584127634763718,0.43410852713178294,0.4636363636363636,0.609271523178808,0.7718120805369127,0.061224489795918366,0.9180327868852459,0.625,0.45098039215686275,0.9387755102040817,0.08196721311475409,0.03969937344803366,0.582134493141519,0.5607071579520322
2,0.7687088632583619,0.7377304881811142,0.4664082687338501,0.509090909090909,0.6301369863013698,0.7849829351535836,0.061224489795918366,0.8360655737704918,0.7692307692307693,0.4742268041237113,0.9387755102040817,0.16393442622950818,0.1581313121539018,0.656406825025092,0.6298408643706066
3,0.7459804272651672,0.7141961455345154,0.5658914728682171,0.6272727272727273,0.6917293233082706,0.8214285714285714,0.061224489795918366,0.6229508196721312,0.8846153846153846,0.5476190476190477,0.9387755102040817,0.3770491803278688,0.3694730109191913,0.7551020408163265,0.7305177084779468
4,0.7090673661231994,0.6863070577383041,0.6511627906976745,0.7363636363636363,0.7521367521367521,0.8333333333333334,0.10204081632653061,0.39344262295081966,0.8809523809523809,0.6470588235294118,0.8979591836734694,0.6065573770491803,0.5161302131324786,0.8266978922716628,0.7896240578866692
5,0.6762158894538879,0.653549000620842,0.7118863049095607,0.7636363636363637,0.7592592592592593,0.803921568627451,0.16326530612244897,0.29508196721311475,0.8431372549019608,0.6949152542372882,0.8367346938775511,0.7049180327868853,0.5398496167118355,0.8718634994981599,0.8424835742751453
6,0.6505356812477112,0.6251710951328278,0.751937984496124,0.7909090909090909,0.780952380952381,0.8134920634920635,0.16326530612244897,0.2459016393442623,0.8518518518518519,0.7321428571428571,0.8367346938775511,0.7540983606557377,0.5874039306530243,0.8819003011040482,0.853034225521087
7,0.626623637676239,0.6008468717336655,0.7596899224806202,0.8181818181818182,0.803921568627451,0.8232931726907631,0.16326530612244897,0.19672131147540983,0.8596491228070176,0.7735849056603774,0.8367346938775511,0.8032786885245902,0.6366146812723935,0.8909334225493476,0.8630333245655901
8,0.6041990494728089,0.582629457116127,0.7674418604651163,0.8090909090909091,0.7961165048543689,0.82,0.16326530612244897,0.21311475409836064,0.8571428571428571,0.7592592592592593,0.8367346938775511,0.7868852459016393,0.6200005247662725,0.8949481431917029,0.8668225113703741
9,0.59524658203125,0.5645070001482964,0.7751937984496124,0.8272727272727273,0.8118811881188119,0.8266129032258065,0.16326530612244897,0.18032786885245902,0.8620689655172413,0.7884615384615384,0.8367346938775511,0.819672131147541,0.6534620591118384,0.9009702241552359,0.8719334147498288
10,0.5786236262321472,0.5481593832373619,0.7777777777777778,0.8363636363636363,0.8235294117647058,0.8433734939759037,0.14285714285714285,0.18032786885245902,0.8771929824561403,0.7924528301886793,0.8571428571428571,0.819672131147541,0.6732208574041046,0.9026430244228839,0.8760470422166332
11,0.5702694869041443,0.5354986935853958,0.7764857881136951,0.8454545454545455,0.8316831683168316,0.8467741935483871,0.14285714285714285,0.16393442622950818,0.8793103448275862,0.8076923076923077,0.8571428571428571,0.8360655737704918,0.6900985659937457,0.907661425225828,0.8820635469635131
12,0.5502077805995941,0.5245567113161087,0.7945736434108527,0.8545454545454545,0.84,0.8502024291497976,0.14285714285714285,0.14754098360655737,0.8813559322033898,0.8235294117647058,0.8571428571428571,0.8524590163934426,0.7072396769893781,0.9110070257611241,0.8870501846398653
13,0.5450733017921447,0.508172407746315,0.7919896640826873,0.8545454545454545,0.84,0.8502024291497976,0.14285714285714285,0.14754098360655737,0.8813559322033898,0.8235294117647058,0.8571428571428571,0.8524590163934426,0.7072396769893781,0.9136835061893609,0.8903539098093012
14,0.5398403322696685,0.5040403008460999,0.8023255813953488,0.8454545454545455,0.8282828282828283,0.8333333333333334,0.16326530612244897,0.14754098360655737,0.8666666666666667,0.82,0.8367346938775511,0.8524590163934426,0.6879290281122142,0.9136835061893609,0.8901275491278156
15,0.5332132756710053,0.4913221523165703,0.7997416020671835,0.8454545454545455,0.8282828282828283,0.8333333333333334,0.16326530612244897,0.14754098360655737,0.8666666666666667,0.82,0.8367346938775511,0.8524590163934426,0.6879290281122142,0.915356306457009,0.8920571580976588
16,0.5192524218559265,0.485656775534153,0.8010335917312662,0.8545454545454545,0.8367346938775511,0.8367346938775511,0.16326530612244897,0.13114754098360656,0.8688524590163934,0.8367346938775511,0.8367346938775511,0.8688524590163934,0.7055871528939445,0.9163599866175978,0.8933115894419883
17,0.5153916776180267,0.47937455773353577,0.8036175710594315,0.8454545454545455,0.8247422680412371,0.819672131147541,0.1836734693877551,0.13114754098360656,0.8548387096774194,0.8333333333333334,0.8163265306122449,0.8688524590163934,0.6866738855678024,0.9197055871528939,0.8966911212433586
18,0.5103080201148987,0.4751667082309723,0.8113695090439277,0.8454545454545455,0.8247422680412371,0.819672131147541,0.1836734693877551,0.13114754098360656,0.8548387096774194,0.8333333333333334,0.8163265306122449,0.8688524590163934,0.6866738855678024,0.9200401472064235,0.8975288482930371
19,0.5133770418167114,0.46931517124176025,0.8113695090439277,0.8454545454545455,0.8247422680412371,0.819672131147541,0.1836734693877551,0.13114754098360656,0.8548387096774194,0.8333333333333334,0.8163265306122449,0.8688524590163934,0.6866738855678024,0.9207092673134827,0.898459798636204
20,0.5040751492977142,0.46493878960609436,0.8126614987080103,0.8363636363636363,0.8125,0.8024691358024691,0.20408163265306123,0.13114754098360656,0.8412698412698413,0.8297872340425532,0.7959183673469388,0.8688524590163934,0.6679065552099196,0.9230511876881901,0.9031921193876591
21,0.49487635493278503,0.4589943289756775,0.8126614987080103,0.8454545454545455,0.8247422680412371,0.819672131147541,0.1836734693877551,0.13114754098360656,0.8548387096774194,0.8333333333333334,0.8163265306122449,0.8688524590163934,0.6866738855678024,0.9233857477417197,0.9032246076470902
22,0.49790682554244997,0.4574611037969589,0.8165374677002584,0.8272727272727273,0.8,0.7851239669421488,0.22448979591836735,0.13114754098360656,0.828125,0.8260869565217391,0.7755102040816326,0.8688524590163934,0.6492686335677382,0.9243894279023085,0.9053803219276544
23,0.48601853728294375,0.4506821632385254,0.8152454780361758,0.8454545454545455,0.8247422680412371,0.819672131147541,0.1836734693877551,0.13114754098360656,0.8548387096774194,0.8333333333333334,0.8163265306122449,0.8688524590163934,0.6866738855678024,0.9247239879558381,0.9055237527939768
24,0.48731781959533693,0.44455868750810623,0.8165374677002584,0.8545454545454545,0.8367346938775511,0.8367346938775511,0.16326530612244897,0.13114754098360656,0.8688524590163934,0.8367346938775511,0.8367346938775511,0.8688524590163934,0.7055871528939445,0.9257276681164269,0.9067271348327997
25,0.47540593922138213,0.4426373392343521,0.8152454780361758,0.8454545454545455,0.8247422680412371,0.819672131147541,0.1836734693877551,0.13114754098360656,0.8548387096774194,0.8333333333333334,0.8163265306122449,0.8688524590163934,0.6866738855678024,0.9260622281699565,0.9070952746881868
26,0.47642975449562075,0.4416755363345146,0.8165374677002584,0.8454545454545455,0.8210526315789474,0.8057851239669421,0.20408163265306123,0.11475409836065574,0.84375,0.8478260869565217,0.7959183673469388,0.8852459016393442,0.6863504350695301,0.9277350284376046,0.9091893286157647
27,0.47692342042922975,0.43659138679504395,0.8191214470284238,0.8454545454545455,0.8210526315789474,0.8057851239669421,0.20408163265306123,0.11475409836065574,0.84375,0.8478260869565217,0.7959183673469388,0.8852459016393442,0.6863504350695301,0.9287387085981934,0.9102282850707297
28,0.4742250621318817,0.4355066791176796,0.8191214470284238,0.8454545454545455,0.8210526315789474,0.8057851239669421,0.20408163265306123,0.11475409836065574,0.84375,0.8478260869565217,0.7959183673469388,0.8852459016393442,0.6863504350695301,0.9287387085981934,0.9102596217882942
29,0.4719641625881195,0.4311968758702278,0.8165374677002584,0.8454545454545455,0.8210526315789474,0.8057851239669421,0.20408163265306123,0.11475409836065574,0.84375,0.8478260869565217,0.7959183673469388,0.8852459016393442,0.6863504350695301,0.9300769488123118,0.9121824093520057
30,0.4674365699291229,0.4293624237179756,0.8178294573643411,0.8454545454545455,0.8210526315789474,0.8057851239669421,0.20408163265306123,0.11475409836065574,0.84375,0.8478260869565217,0.7959183673469388,0.8852459016393442,0.6863504350695301,0.9304115088658415,0.9134897626633844
31,0.4615046393871307,0.43135005235671997,0.8178294573643411,0.8272727272727273,0.7956989247311828,0.7708333333333334,0.24489795918367346,0.11475409836065574,0.8181818181818182,0.8409090909090909,0.7551020408163265,0.8852459016393442,0.6496518356224364,0.9317497490799599,0.9150940589179766
32,0.46678699016571046,0.4278028830885887,0.8204134366925064,0.8363636363636363,0.8085106382978723,0.7883817427385892,0.22448979591836735,0.11475409836065574,0.8307692307692308,0.8444444444444444,0.7755102040816326,0.8852459016393442,0.6679457751672186,0.9317497490799599,0.9143531697886635
33,0.4618115234375,0.42642050981521606,0.8217054263565892,0.8363636363636363,0.8085106382978723,0.7883817427385892,0.22448979591836735,0.11475409836065574,0.8307692307692308,0.8444444444444444,0.7755102040816326,0.8852459016393442,0.6679457751672186,0.9320843091334895,0.9154272836447324
34,0.4557219171524048,0.4179678335785866,0.8242894056847545,0.8545454545454545,0.8333333333333334,0.823045267489712,0.1836734693877551,0.11475409836065574,0.8571428571428571,0.851063829787234,0.8163265306122449,0.8852459016393442,0.7048817545421245,0.9324188691870191,0.9156258723970034
35,0.4537318289279938,0.4173469990491867,0.8268733850129198,0.8545454545454545,0.8333333333333334,0.823045267489712,0.1836734693877551,0.11475409836065574,0.8571428571428571,0.851063829787234,0.8163265306122449,0.8852459016393442,0.7048817545421245,0.9327534292405487,0.915788157369415
